Utente Test;Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP
Utente 2;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.04752662555846005;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.008429701248153298;0.0008451088263540559;0.01050747281890696;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.006958731728108106;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559;0.0008451088263540559
Utente 3;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;0.03774646484624159;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;0.0046007529860455825;1.2167186390696606e-05;0.006355540706462965;1.2167186390696606e-05;0.0020568012965970863;1.2167186390696606e-05;1.2167186390696606e-05;0.004365742761432655;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05;1.2167186390696606e-05
Utente 4;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.03997663473860115;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.012422460960344496;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.006391845707390236;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.003948505787871589;0.03359030297514992
Utente 9;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.013988847400603736;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.010555211173346747;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.003163040072624973;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.001382143812356689;0.037490628426286275
Utente 10;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0397399250707444;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.008527507686235317;0.0013042691192327789;0.004236621308008805;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0065030144903486685;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789;0.0013042691192327789
Utente 11;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.011932825690603853;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.009419985087114892;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.006856633111465418;0.03667028265496411
Utente 12;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.016447079355565608;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.010278252124038432;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0036571547348056774;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104;0.0026691973147602104
Utente 14;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.031531232259331;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.01002598213359286;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.0160499551756102;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246;0.004309538941066246
Utente 18;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.0037460030882114567;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.014560148248276178;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.007658751293960808;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.0017259637827905614;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.00010793722441833299;0.14153703488122568
Utente 20;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.0029261261419649487;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.024677336027052563;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.013339081825620384;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.0038950782464645317;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003;0.00029541210590094003
